Folder,FileNames,MeanPixIntensities
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190520_EV6-10-automated_T0_0_E4_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_10.tif,4415.33
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190520_EV6-10-automated_T0_0_E4_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_6.tif,1852.93
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190520_EV6-10-automated_T0_0_E6_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_8.tif,3499.11
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190520_EV6-10-automated_T0_0_E6_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_9.tif,3092.11
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190520_EV6-10-automated_T0_0_F10_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_4.tif,2311.21
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190520_EV6-10-automated_T0_0_F2_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_5.tif,3046.33
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190520_EV6-10-automated_T0_0_F3_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_5.tif,4809.38
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190520_EV6-10-automated_T0_0_F8_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_1.tif,11151.39
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190606_EV11-15-automated_T0_0_G10_0_RFP-DFTrCy5_BGpbs_MN_3.tif,5273.05
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190606_EV11-15-automated_T0_0_G10_0_RFP-DFTrCy5_BGpbs_MN_5.tif,3053.36
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190606_EV11-15-automated_T0_0_G6_0_RFP-DFTrCy5_BGpbs_MN_26.tif,2627.76
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190606_EV11-15-automated_T0_0_G7_0_RFP-DFTrCy5_BGpbs_MN_3.tif,1638.03
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190606_EV11-15-automated_T0_0_G9_0_RFP-DFTrCy5_BGpbs_MN_1.tif,1381.37
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190606_EV11-15-automated_T0_0_G9_0_RFP-DFTrCy5_BGpbs_MN_3.tif,1534.58
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190606_EV11-15-automated_T0_0_H3_0_RFP-DFTrCy5_BGpbs_MN_1.tif,1440.55
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190727_EV21-25-Plate1_T0_0_A12_0_RFP-DFTrCy5_BGpbs_MN_1.tif,1597.29
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190727_EV21-25-Plate1_T0_0_A8_0_RFP-DFTrCy5_BGpbs_MN_2.tif,1593.49
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190727_EV21-25-Plate1_T0_0_B2_0_RFP-DFTrCy5_BGpbs_MN_7.tif,1793.72
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190727_EV21-25-Plate1_T0_0_B3_0_RFP-DFTrCy5_BGpbs_MN_1.tif,2262.84
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190727_EV21-25-Plate1_T0_0_B3_0_RFP-DFTrCy5_BGpbs_MN_2.tif,3572.11
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190727_EV21-25-Plate1_T0_0_B4_0_RFP-DFTrCy5_BGpbs_MN_1.tif,1936.52
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190727_EV21-25-Plate1_T0_0_C11_0_RFP-DFTrCy5_BGpbs_MN_4.tif,1602.66
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190727_EV21-25-Plate1_T0_0_C3_0_RFP-DFTrCy5_BGpbs_MN_1.tif,1766.03
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190727_EV21-25-Plate1_T0_0_D3_0_RFP-DFTrCy5_BGpbs_MN_3.tif,1628.56
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190727_EV21-25-Plate1_T0_0_D8_0_RFP-DFTrCy5_BGpbs_MN_1.tif,2838.43
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190727_EV21-25-Plate2_T0_0_B1_0_RFP-DFTrCy5_BGpbs_MN_1.tif,941.43
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190727_EV21-25-Plate2_T0_0_C11_0_RFP-DFTrCy5_BGpbs_MN_5.tif,1210.56
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190727_EV21-25-Plate2_T0_0_C12_0_RFP-DFTrCy5_BGpbs_MN_5.tif,2017.43
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190727_EV21-25-Plate2_T0_0_C4_0_RFP-DFTrCy5_BGpbs_MN_13.tif,2515.87
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190727_EV21-25-Plate2_T0_0_C9_0_RFP-DFTrCy5_BGpbs_MN_1.tif,1664.21
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190727_EV21-25-Plate2_T0_0_D11_0_RFP-DFTrCy5_BGpbs_MN_4.tif,1799.12
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190727_EV21-25-Plate2_T0_0_D3_0_RFP-DFTrCy5_BGpbs_MN_15.tif,1930.93
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190727_EV21-25-Plate2_T0_0_D3_0_RFP-DFTrCy5_BGpbs_MN_27.tif,1416.65
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190727_EV21-25-Plate2_T0_0_D3_0_RFP-DFTrCy5_BGpbs_MN_8.tif,1780.05
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190727_EV21-25-Plate2_T0_0_D6_0_RFP-DFTrCy5_BGpbs_MN_7.tif,1591.47
